date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:53:27	4746/4746	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2020%20Feb%202018%2016:53:27%20GMT	http://surfhousebarcelona.com/robots.txt		(from )
12:53:28	17055/17055	---MCZ	200	added ('OK')	text/html	date:Tue,%2020%20Feb%202018%2016:53:27%20GMT	http://surfhousebarcelona.com/	/home/juliot/websites/clone01/surfhousebarcelona.com/index.html	(from )
12:53:29	1496/1496	---M--	200	added ('OK')	image/png	etag:%225d8-52c4c3bbba30e%22	http://surfhousebarcelona.com/img/shb-favicon.png	/home/juliot/websites/clone01/surfhousebarcelona.com/img/shb-favicon.png	(from http://surfhousebarcelona.com/)
12:53:29	2298/2298	---M--	200	added ('OK')	text/css	etag:%228fa-52ac91427ffb1%22	http://surfhousebarcelona.com/css/normalize.css	/home/juliot/websites/clone01/surfhousebarcelona.com/css/normalize.css	(from http://surfhousebarcelona.com/)
12:53:30	1290/1290	---M--	200	added ('OK')	text/css	etag:%2250a-5289298ed3e49%22	http://surfhousebarcelona.com/css/outdatedbrowser.css	/home/juliot/websites/clone01/surfhousebarcelona.com/css/outdatedbrowser.css	(from http://surfhousebarcelona.com/)
12:53:30	6518/6518	---M--	200	added ('OK')	text/css	etag:%221976-531ed7a35d926%22	http://surfhousebarcelona.com/css/animations.css	/home/juliot/websites/clone01/surfhousebarcelona.com/css/animations.css	(from http://surfhousebarcelona.com/)
12:53:30	14412/14412	---M--	200	added ('OK')	text/css	etag:%22384c-52ac910ba3ad2%22	http://surfhousebarcelona.com/css/font-awesome-animation.css	/home/juliot/websites/clone01/surfhousebarcelona.com/css/font-awesome-animation.css	(from http://surfhousebarcelona.com/)
12:53:31	667/667	---MCZ	200	added ('OK')	text/html	date:Tue,%2020%20Feb%202018%2016:53:30%20GMT	http://surfhousebarcelona.com/slick/slick.css	/home/juliot/websites/clone01/surfhousebarcelona.com/slick/slick.html	(from http://surfhousebarcelona.com/)
12:53:31	819/819	---M--	200	added ('OK')	text/css	etag:%22333-531ed9f1c08ae%22	http://surfhousebarcelona.com/css/cookiecuttr.css	/home/juliot/websites/clone01/surfhousebarcelona.com/css/cookiecuttr.css	(from http://surfhousebarcelona.com/)
12:53:32	71534/71534	---M--	200	added ('OK')	text/css	etag:%221176e-55d1108824a28%22	http://surfhousebarcelona.com/css/main_home.css	/home/juliot/websites/clone01/surfhousebarcelona.com/css/main_home.css	(from http://surfhousebarcelona.com/)
12:53:34	3178/3178	---M--	200	added ('OK')	text/javascript	etag:%221451983567-3612149b593add0304e88405cff6e11b%22	http://surfhousebarcelona.com/js/vendor/outdatedbrowser.min.js	/home/juliot/websites/clone01/surfhousebarcelona.com/js/vendor/outdatedbrowser.min.js	(from http://surfhousebarcelona.com/)
